X,Y,Pressure,TiltX,TiltY,Time,Color
818.805,450.68,0.030517578125,7297.0,10973.0,2.3707056,0
818.805,450.68,0.030517578125,7153.0,11009.0,2.3944824,0
819.375,450.933333333333,0.09619140625,6258.0,11073.0,2.4098407,0
819.8025,451.186666666667,0.1279296875,5914.0,11021.0,2.4098407,0
820.0875,451.313333333333,0.134765625,5835.0,11009.0,2.4254794,0
820.3725,451.566666666667,0.1552734375,5735.0,10931.0,2.4411195,0
821.2275,451.946666666667,0.19287109375,5708.0,10866.0,2.4566683,0
821.5125,452.2,0.24560546875,5659.0,10899.0,2.4722944,0
822.225,452.833333333333,0.30615234375,5601.0,10938.0,2.4890208,0
822.795,453.086666666667,0.361572265625,5601.0,10938.0,2.506065,0
823.2225,453.466666666667,0.43212890625,5588.0,10906.0,2.506065,0
823.2225,453.466666666667,0.4453125,5588.0,10906.0,2.5217028,0
823.5075,453.593333333333,0.482666015625,5588.0,10906.0,2.5217028,0
823.5075,453.593333333333,0.49462890625,5588.0,10906.0,2.5373555,0
823.5075,453.593333333333,0.527099609375,5588.0,10906.0,2.5373555,0
823.5075,453.593333333333,0.537109375,5588.0,10906.0,2.5529668,0
823.5075,453.593333333333,0.563232421875,5588.0,10906.0,2.5684919,0
823.5075,453.593333333333,0.595947265625,5588.0,10906.0,2.5878304,0
823.5075,453.593333333333,0.628662109375,5588.0,10906.0,2.5878304,0
823.2225,453.466666666667,0.636474609375,5588.0,10906.0,2.5878304,0
823.08,453.213333333333,0.644287109375,5588.0,10906.0,2.5878304,0
822.795,452.96,0.651611328125,5588.0,10906.0,2.6037356,0
821.655,451.82,0.6728515625,5588.0,10906.0,2.6193838,0
819.8025,450.173333333333,0.6875,5588.0,10906.0,2.6193838,0
819.09,449.793333333333,0.69140625,5588.0,10906.0,2.6350101,0
817.38,448.4,0.703857421875,5588.0,10906.0,2.6503258,0
815.955,447.386666666667,0.71826171875,5588.0,10906.0,2.6503258,0
814.3875,446.373333333333,0.7333984375,5588.0,10906.0,2.6659485,0
811.395,444.346666666667,0.7470703125,5588.0,10906.0,2.6659485,0
810.6825,443.84,0.754638671875,5588.0,10906.0,2.6815669,0
808.545,441.686666666667,0.78759765625,5588.0,10906.0,2.6982912,0
806.4075,439.533333333333,0.815673828125,5588.0,10906.0,2.7149329,0
803.2725,436.366666666667,0.842529296875,5588.0,10906.0,2.7305442,0
800.85,434.086666666667,0.85498046875,5601.0,10937.0,2.7461674,0
796.4325,430.54,0.8720703125,5601.0,10937.0,2.7617883,0
793.8675,428.133333333333,0.88232421875,5601.0,10937.0,2.7776671,0
789.45,424.966666666667,0.897705078125,5601.0,10937.0,2.7933118,0
786.885,422.56,0.906982421875,5626.0,10999.0,2.7933118,0
786.315,422.053333333333,0.9091796875,5626.0,10999.0,2.8087054,0
784.7475,420.406666666667,0.916259765625,5653.0,11059.0,2.8087054,0
784.1775,419.9,0.918701171875,5666.0,11088.0,2.8243008,0
782.4675,418.506666666667,0.921142578125,5679.0,11117.0,2.8398932,0
780.045,416.353333333333,0.926025390625,5708.0,11175.0,2.8398932,0
779.3325,415.846666666667,0.927978515625,5708.0,11175.0,2.8555133,0
776.34,413.82,0.929931640625,5722.0,11203.0,2.8555133,0
775.6275,413.44,0.929931640625,5722.0,11203.0,2.8711397,0
774.06,412.553333333333,0.929931640625,5737.0,11231.0,2.8867683,0
768.7875,410.78,0.93212890625,5737.0,11231.0,2.9023828,0
767.0775,408.373333333333,0.934326171875,5901.0,11221.0,2.9180036,0
764.37,405.966666666667,0.938720703125,5917.0,11248.0,2.9336313,0
762.375,404.573333333333,0.942626953125,5917.0,11248.0,2.9492443,0
761.805,404.193333333333,0.94482421875,5917.0,11248.0,2.9492443,0
760.5225,403.18,0.947265625,5933.0,11274.0,2.9492443,0
760.095,402.8,0.949462890625,5949.0,11300.0,2.9648767,0
758.67,401.913333333333,0.951416015625,5965.0,11325.0,2.9648767,0
757.815,401.913333333333,0.95361328125,5965.0,11325.0,2.980494,0
756.2475,401.153333333333,0.9560546875,5965.0,11325.0,2.9961078,0
754.68,399.76,0.9560546875,5981.0,11350.0,3.0117797,0
752.8275,398.62,0.95361328125,5999.0,11377.0,3.0273538,0
751.4025,397.733333333333,0.95361328125,5999.0,11377.0,3.0429751,0
749.835,396.593333333333,0.95751953125,5999.0,11377.0,3.0585939,0
748.695,395.96,0.96337890625,5999.0,11377.0,3.0585939,0
748.2675,395.706666666667,0.96337890625,5999.0,11377.0,3.0742231,0
747.1275,395.073333333333,0.96533203125,5999.0,11377.0,3.089837,0
746.415,394.566666666667,0.96533203125,5999.0,11377.0,3.1056911,0
745.56,393.806666666667,0.969482421875,5999.0,11377.0,3.1210831,0
745.275,393.553333333333,0.969482421875,5999.0,11377.0,3.1210831,0
744.8475,393.173333333333,0.971435546875,5999.0,11377.0,3.1367551,0
744.135,392.666666666667,0.973388671875,5999.0,11377.0,3.1367551,0
743.9925,392.54,0.973388671875,6017.0,11403.0,3.1523705,0
743.7075,392.16,0.973388671875,6034.0,11427.0,3.1683796,0
743.565,391.906666666667,0.973388671875,6052.0,11451.0,3.1683796,0
743.565,391.906666666667,0.973388671875,6052.0,11451.0,3.1839896,0
743.1375,391.653333333333,0.973388671875,6052.0,11451.0,3.1839896,0
742.995,391.4,0.973388671875,6052.0,11451.0,3.1993306,0
742.995,391.4,0.975341796875,6069.0,11474.0,3.2148136,0
742.5675,391.02,0.975341796875,6069.0,11474.0,3.2148136,0
742.425,390.893333333333,0.975341796875,6069.0,11474.0,3.2304245,0
742.2825,390.64,0.975341796875,6069.0,11474.0,3.2460478,0
741.9975,390.386666666667,0.977294921875,6087.0,11497.0,3.2618492,0
741.7125,390.26,0.977294921875,6087.0,11497.0,3.2772891,0
741.4275,389.753333333333,0.977294921875,6087.0,11497.0,3.293355,0
741.4275,389.753333333333,0.977294921875,6087.0,11497.0,3.3087467,0
741.4275,389.753333333333,0.979248046875,6087.0,11497.0,3.3087467,0
741.4275,389.753333333333,0.979248046875,6087.0,11497.0,3.324641,0
741.4275,389.626666666667,0.979248046875,6087.0,11497.0,3.324641,0
741.4275,389.626666666667,0.979248046875,6087.0,11497.0,3.3401083,0
741.4275,389.626666666667,0.979248046875,6108.0,11524.0,3.3557274,0
741.4275,389.626666666667,0.979248046875,6108.0,11524.0,3.3711247,0
741.4275,389.626666666667,0.979248046875,6108.0,11524.0,3.3711247,0
